download,upload,ping,timestamp,bytes_sent,bytes_received
716273842.9963715,24832621.01386189,25.496,2024-01-06T22:17:01.423593Z,31145984,409373932
557002219.6125174,23846541.883221917,26.525,2024-01-07T22:17:01.929383Z,29917184,409373932
781683732.2112937,23736172.522900905,27.163,2024-01-08T22:17:02.168299Z,30015488,409373932
322575776.04286504,24051452.839465246,27.138,2024-01-09T22:17:01.468778Z,30507008,403358807
768676881.8363822,24665174.81977763,20.94,2024-01-10T22:17:02.233606Z,30924800,409373932
391716881.4961608,6213331.306037156,21.988,2024-01-11T22:17:01.387053Z,8912896,409373932
700219563.0333117,21489425.66627574,27.409,2024-01-12T22:17:01.956339Z,27836416,409373932
460511136.1549431,22173533.633934975,33.579,2024-01-13T22:17:01.686734Z,28319744,409373932
427688627.55305547,23766909.58566769,16.399,2024-01-14T22:17:02.135137Z,30425088,409373932
689368009.1009966,24374362.802081313,24.681,2024-01-15T22:17:02.039283Z,30760960,409373932
167035896.93119097,22943909.052638836,29.894,2024-01-16T22:17:01.866865Z,28860416,208988252
623909438.6521989,24669257.86595814,32.212,2024-01-17T22:17:02.052577Z,31047680,409373932
383632301.12696004,24998510.739539023,25.737,2024-01-18T22:17:01.779556Z,31399936,409373932
820388827.0618644,24432827.142244086,27.293,2024-01-19T22:17:02.076210Z,30834688,409373932
581387105.8042669,24734171.32153462,22.206,2024-01-20T22:17:01.936239Z,30982144,409373932
668442557.1044247,23787211.884818677,29.064,2024-01-21T22:17:02.140199Z,30212096,409373932
625262826.4071872,23817812.074036546,28.352,2024-01-23T22:17:01.798882Z,29990912,409373932
760847110.0009047,23769731.117266253,27.032,2024-01-24T22:17:01.717020Z,30179328,409373932
707203496.9126602,23253568.70000962,27.474,2024-01-25T22:17:01.702575Z,30154752,409373932
530302623.6411825,23929991.728140313,21.966,2024-01-26T22:17:01.789945Z,29990912,409373932
431315621.4594175,24789308.274474777,28.378,2024-01-27T22:17:01.711853Z,31129600,409373932
773228970.5511092,23099837.9079802,34.966,2024-01-28T22:17:01.954288Z,28958720,409373932
442790556.1271517,23324709.05556119,24.985,2024-01-29T22:17:01.329920Z,29212672,409373932
610960008.7026719,27611087.26517794,41.13,2024-01-30T22:17:01.415844Z,34750464,409373932
714049369.9332341,24077971.10951154,20.964,2024-01-31T22:17:01.723034Z,30990336,409373932
675726272.3236867,24492588.633077372,27.131,2024-02-01T22:17:01.822244Z,30924800,409373932
599045160.749006,22675533.622343298,25.812,2024-02-02T22:17:02.033951Z,29704192,409373932
456775151.1247007,24437610.94656343,15.405,2024-02-03T22:17:01.290302Z,30629888,409373932
607459729.6622516,24552867.638082,27.156,2024-02-04T22:17:01.352187Z,30859264,409373932
368640750.6132183,24029246.14417201,30.184,2024-02-05T22:17:02.108341Z,30261248,409373932
598879558.2705709,23511591.538396724,25.57,2024-02-06T22:17:02.149915Z,29810688,409373932
400702553.3411746,24060667.80743183,26.631,2024-02-07T22:17:01.920624Z,30326784,409373932
742439142.2734436,23329869.045198843,27.087,2024-02-08T22:17:02.144714Z,30539776,409373932
656741423.7371441,23649362.10258305,30.832,2024-02-09T22:17:01.380362Z,29622272,409373932
493888965.51894915,23910535.200263012,31.135,2024-02-10T22:17:01.816945Z,30408704,409373932
715305635.349347,23291371.375494517,22.141,2024-02-11T22:17:01.895204Z,29614080,409373932
729066370.3247662,22479384.952843223,29.455,2024-02-12T22:17:02.000381Z,28311552,409373932
762690139.1301544,24123588.889241643,19.833,2024-02-13T22:17:02.036164Z,30277632,409373932
292981525.12050116,23153697.801282328,28.321,2024-02-14T22:17:01.467619Z,29753344,366307992
528510808.2684623,24252178.334293112,22.896,2024-02-15T22:17:01.729623Z,30818304,409373932
763362306.9966087,22088498.25158294,20.313,2024-02-16T22:17:02.005308Z,28409856,409373932
705015994.1026076,24002927.318991207,25.723,2024-02-17T22:17:01.453776Z,31178752,409373932
715708925.9237189,23192184.224315047,32.942,2024-02-18T22:17:01.712387Z,30949376,409373932
567177142.9066293,23969455.83764136,36.253,2024-02-19T22:17:01.647784Z,30294016,409373932
424317204.3956672,22623118.15053788,26.531,2024-02-20T22:17:02.298691Z,29581312,409373932
download,upload,ping,timestamp,bytes_sent,bytes_received
